idx,s_id,city,enrollment,graderange,gsrating,lat,lon,parentrating,phone,school_name,school_type,website
2333,5af7495c18e4261b6296b21d,Diamond Bar,NA,K-8,NA,34.006077,-117.78747,4,(909) 632-8020,Wisdom Kids College,private,
2334,5af7495c18e4261b6296b21e,Dinuba,1942,9-12,4,36.541134,-119.38487,4,(559) 595-7220,Dinuba High School,public,http://dhs.dinuba.k12.ca.us/
2335,5af7495c18e4261b6296b21f,Dinuba,22,K-8,NA,36.544453,-119.37612,4,(559) 591-0194,Dinuba Junior Academy Christian School,private,
2336,5af7495c18e4261b6296b220,Dinuba,341,K-6,5,36.51552,-119.43056,5,(559) 595-7275,Grand View Elementary School,public,http://grandview.dinuba.k12.ca.us/
2337,5af7495c18e4261b6296b221,Dinuba,681,K-6,NA,36.538242,-119.37733,5,(559) 595-7266,Jefferson Elementary School,public,www.dusd.org/jefferson
2338,5af7495c18e4261b6296b222,Dinuba,600,K-6,NA,36.55361,-119.37687,5,(559) 595-7300,John F. Kennedy Elementary,public,www.dinubausd.org
2339,5af7495c18e4261b6296b223,Dinuba,104,9-12,NA,36.588566,-119.37678,5,(559) 305-7393,Kings Canyon Continuation School,public,
2340,5af7495c18e4261b6296b224,Dinuba,565,K-6,6,36.55211,-119.38928,5,(559) 595-7260,Lincoln Elementary School,public,
2341,5af7495c18e4261b6296b225,Dinuba,461,K-8,4,36.543823,-119.33474,4,(559) 591-1634,Monson-Sultana Elementary School,public,www.msschool.org
2342,5af7495c18e4261b6296b226,Dinuba,143,K-12,1,36.52747,-119.38021,5,(559) 595-0563,Ronald Reagan Academy,public,www.dinubausd.org
2343,5af7495c18e4261b6296b227,Dinuba,668,K-6,4,36.556988,-119.39959,5,(559) 595-7290,Roosevelt Elementary School,public,
2344,5af7495c18e4261b6296b228,Dinuba,83,9-12,NA,36.528507,-119.38408,5,(559) 595-7240,Sierra Vista High (Continuation) School,public,
2345,5af7495c18e4261b6296b229,Dinuba,931,7-8,4,36.55545,-119.38142,4,(559) 595-7252,Washington Intermediate School,public,http://washington.dinuba.k12.ca.us/
2346,5af7495c18e4261b6296b22a,Dinuba,626,K-6,4,36.532608,-119.39139,4,(559) 595-7370,Wilson Elementary School,public,
2347,5af7495c18e4261b6296b22b,Dixon,NA,1-12,NA,38.35538,-121.87021,4,(530) 365-2950,American Christian Academy - Ext,private,
2348,5af7495c18e4261b6296b22c,Dixon,503,K-6,4,38.447975,-121.81806,3,(707) 693-6360,Anderson (Linford L.) Elementary School,public,www.schools.dixonusd.org/and/
2349,5af7495c18e4261b6296b22d,Dixon,545,7-8,5,38.446472,-121.83635,3,(707) 693-6350,C. A. Jacobs Intermediate School,public,www.dixonusd.org
2350,5af7495c18e4261b6296b22e,Dixon,12,7-12,NA,38.44752,-121.82002,1,(707) 693-6340,Dixon Community Day School,public,www.dixonusd.org
2351,5af7495c18e4261b6296b22f,Dixon,1161,9-12,6,38.43609,-121.81672,3,(707) 693-6330,Dixon High School,public,http://dhs.dixonusd.org/
2352,5af7495c18e4261b6296b230,Dixon,406,K-8,4,38.44864,-121.83269,4,(707) 678-8953,Dixon Montessori Charter,charter,www.dixonmontessori.org
2353,5af7495c18e4261b6296b231,Dixon,NA,K-8,NA,38.44794,-121.83183,4,(707) 678-8953,Dixon Montessori Charter,charter,
2354,5af7495c18e4261b6296b232,Dixon,500,K-6,4,38.46078,-121.82992,3,(707) 678-6271,Gretchen Higgins Elementary School,public,www.dixonusd.org
2355,5af7495c18e4261b6296b233,Dixon,76,10-12,NA,38.44752,-121.81987,3,(707) 693-6340,Maine Prairie High (Continuation) School,public,
2356,5af7495c18e4261b6296b234,Dixon,97,K-8,NA,38.43856,-121.82111,5,(707) 678-9336,Neighborhood Christian School,private,
2357,5af7495c18e4261b6296b235,Dixon,598,K-6,4,38.448353,-121.845,4,(707) 693-6320,Tremont Elementary School,public,www.dixonusd.org/tre
2358,5af7495c18e4261b6296b236,Dorris,162,K-6,NA,41.964172,-121.92438,3,(530) 397-3900,Butte Valley Elementary School,public,http://bvalusd.org
2359,5af7495c18e4261b6296b237,Dorris,84,9-12,3,41.964172,-121.92438,2,(530) 397-3990,Butte Valley High School,public,www.bvalusd.org
2360,5af7495c18e4261b6296b238,Dorris,47,K-8,NA,41.822178,-122.0055,2,(530) 397-3900,Butte Valley Middle School,public,www.bvalusd.org
2361,5af7495c18e4261b6296b239,Dorris,4,9-12,NA,41.964172,-121.92438,2,(530) 397-3363,Cascade High School,public,www.bvalusd.org
2362,5af7495c18e4261b6296b23a,Dorris,NA,1-12,NA,41.9652,-121.9182,2,(530) 397-2900,Cornerstone Christian Academy,private,
2363,5af7495c18e4261b6296b23b,Dorris,NA,7-12,NA,41.963757,-121.92396,2,(530) 397-3406,Mahogany Community Day High School,public,http://www.bvalusd.org
2364,5af7495c18e4261b6296b23c,Dorris,5,K-8,NA,41.822178,-122.0055,2,(530) 398-4713,Picard Community Day Elementary School,public,
2365,5af7495d18e4261b6296b23d,Dos Palos,507,3-5,2,36.981735,-120.62443,3,(209) 392-0250,Bernhard Marks Elementary School,public,www.dpol.net
2366,5af7495d18e4261b6296b23e,Dos Palos,502,6-8,1,36.977306,-120.6086,3,(209) 392-0240,Bryant Middle School,public,www.dpol.net
2367,5af7495d18e4261b6296b23f,South Dos Palos,NA,n/a,NA,36.9616,-120.65506,3,(209) 392-0330,Dos Palos Adult,public,http://www.dpol.net
2368,5af7495d18e4261b6296b240,Dos Palos,581,K-2,NA,36.984844,-120.63106,5,(209) 392-0260,Dos Palos Elementary School,public,http://www.dpol.net
2369,5af7495d18e4261b6296b241,Dos Palos,656,9-12,5,36.986343,-120.62452,4,(209) 392-0300,Dos Palos High School,public,www.dpol.net
2370,5af7495d18e4261b6296b242,South Dos Palos,9,7-12,NA,36.961594,-120.655045,4,(209) 392-0280,Westside Community Day Middle High School,public,www.dpol.net
2371,5af7495d18e4261b6296b243,South Dos Palos,38,9-12,NA,36.964203,-120.65297,4,(209) 392-0280,Westside High School,public,www.dpol.net
2372,5af7495d18e4261b6296b244,Downey,604,K-3,7,33.925316,-118.13622,5,(562) 904-3589,Alameda Elementary School,public,
2373,5af7495d18e4261b6296b245,Downey,185,K-12,NA,33.91595,-118.12875,5,(562) 803-8203,Alternative Opportunity Programs School,public,www.lacoe.edu
2374,5af7495d18e4261b6296b246,Downey,120,K-2,NA,33.943672,-118.11959,3,(562) 862-5949,"Around The World Children Center, Inc.",private,www.atwcc.com
2375,5af7495d18e4261b6296b247,Downey,NA,K-12,NA,33.915825,-118.115364,4,(562) 803-4076,Calvary Chapel Christian,private,http://www.cccsdowney.org/
2376,5af7495d18e4261b6296b248,Downey,533,4-5,6,33.909767,-118.1328,4,(562) 904-3588,Carpenter Elementary School,public,
2377,5af7495d18e4261b6296b249,Downey,35,PK-1,NA,33.94397,-118.13295,5,(562) 231-4373,Children's Academy Of Success,private,http://www.childrensacademyofsuccess.org/
2378,5af7495d18e4261b6296b24a,Downey,285,9-12,NA,33.91966,-118.11665,5,(562) 904-3552,Columbus Continuation School,public,http://www.dusd.net/columbus/
2379,5af7495d18e4261b6296b24b,Downey,125,K-6,NA,33.944122,-118.13552,5,(562) 861-1499,Creative Beginnings,private,http://www.creativebeginningsschools.org/
2380,5af7495d18e4261b6296b24c,Downey,NA,K-5,NA,33.944675,-118.1359,5,(562) 861-1499,Creative Beginnings,private,
2381,5af7495d18e4261b6296b24d,Downey,131,K-5,NA,33.944122,-118.13552,2,(562) 861-1499,Creative Beginnings Elementary,private,
2382,5af7495d18e4261b6296b24e,Downey,NA,K-6,NA,33.944675,-118.1359,1,(562) 861-1499,Creative Beginnings School,private,
2383,5af7495d18e4261b6296b24f,Downey,1422,6-8,6,33.942272,-118.1129,4,(562) 904-3586,Doty Middle School,public,
2384,5af7495d18e4261b6296b250,Downey,NA,K-8,NA,33.951717,-118.13215,3,(562) 927-7540,Downey Christian School,private,
2385,5af7495d18e4261b6296b251,Downey,4230,9-12,7,33.938408,-118.1279,4,(562) 869-7301,Downey High School,public,http://dusd.net/
2386,5af7495d18e4261b6296b252,Downey,703,K-5,8,33.95544,-118.11683,4,(562) 904-3583,Gallatin Elementary School,public,http://www.dusd.net/gallatin/
2387,5af7495d18e4261b6296b253,Downey,620,K-5,5,33.920692,-118.11976,4,(562) 904-3582,Gauldin Elementary School,public,
2388,5af7495d18e4261b6296b254,Downey,1419,6-8,6,33.95927,-118.12811,5,(562) 904-3580,Griffiths Middle School,public,http://www.dusd.net
2389,5af7495d18e4261b6296b255,Downey,NA,1-12,NA,33.9469,-118.1218,5,(562) 861-8962,Immaculate Heart Academy,private,
2390,5af7495d18e4261b6296b256,Downey,523,K-3,6,33.922836,-118.14947,4,(562) 904-3578,Imperial Elementary School,public,http://www.dusd.net/imperial/
2391,5af7495d18e4261b6296b257,Downey,NA,K-5,NA,33.931286,-118.11385,4,(562) 904-6911,Kirkwood Christian Schools,private,http://kirkwoodchristianschools.org/
2392,5af7495d18e4261b6296b258,Downey,766,K-5,8,33.910793,-118.12533,5,(562) 904-3590,Lewis Elementary School,public,
2393,5af7495d18e4261b6296b259,Downey,NA,9-12,NA,33.91595,-118.12875,5,(562) 922-6850,Los Angeles County Rop School,public,
2394,5af7495d18e4261b6296b25a,Downey,630,K-12,NA,33.91595,-118.12875,5,(562) 803-8306,Los Angeles County Special Education School,public,www.lacoe.edu
2395,5af7495d18e4261b6296b25b,Downey,NA,1-5,NA,33.93201,-118.14614,4,(562) 861-4308,Maria Montessori House of Children School,private,
2396,5af7495d18e4261b6296b25c,Downey,16,K-4,NA,33.916763,-118.13629,4,(562) 869-3218,Maria Montessori House of Children School,private,
2397,5af7495d18e4261b6296b25d,Downey,98,K-6,NA,33.94736,-118.145805,4,(562) 928-3041,Montessori Children's Academy,private,http://www.montessorilearners.com/
2398,5af7495d18e4261b6296b25e,Downey,732,4-5,7,33.938423,-118.15532,4,(562) 904-3561,Old River Elementary School,public,http://www.dusd.net/oldriver/
2399,5af7495d18e4261b6296b25f,Downey,330,K-8,NA,33.948673,-118.128044,4,(562) 869-9969,Our Lady Of Perpetual Help Elementary School,private,
2400,5af7495d18e4261b6296b260,Downey,NA,K-8,NA,33.900066,-118.151505,5,(562) 869-9969,Our Lady of Perpetual Help,private,
2401,5af7495d18e4261b6296b261,Downey,877,K-5,8,33.960396,-118.1273,5,(562) 904-3575,Price Elementary School,public,
2402,5af7495d18e4261b6296b262,Downey,861,K-5,6,33.950775,-118.13885,4,(562) 904-3568,Rio Hondo Elementary School,public,
2403,5af7495d18e4261b6296b263,Downey,862,K-5,8,33.93907,-118.11241,4,(562) 904-3567,Rio San Gabriel Elementary School,public,
2404,5af7495d18e4261b6296b264,Downey,98,K-8,NA,33.949146,-118.126945,3,(562) 869-7213,St. Mark's Elementary School,private,
2405,5af7495d18e4261b6296b265,Downey,306,9-12,NA,33.919647,-118.159424,4,(562) 861-2271,St. Pius X - St. Matthias Academy,private,http://piusmatthias.org
2406,5af7495d18e4261b6296b266,Downey,327,K-8,NA,33.927074,-118.14853,4,(562) 862-3210,St. Raymond Elementary School,private,
2407,5af7495d18e4261b6296b267,Downey,NA,1-12,NA,33.9404,-118.1572,4,(562) 319-9750,Sundance Academy,private,
2408,5af7495d18e4261b6296b268,Downey,1108,6-8,4,33.920795,-118.1399,3,(562) 904-3572,Sussman Middle School,public,http://www.dusd.net/sussman/
2409,5af7495d18e4261b6296b269,Downey,662,K-5,7,33.956577,-118.10604,4,(562) 904-3576,Unsworth Elementary School,public,http://www.dusd.net/unsworth/
2410,5af7495d18e4261b6296b26a,Downey,451,K-3,5,33.914932,-118.14207,5,(562) 904-3591,Ward Elementary School,public,
2411,5af7495d18e4261b6296b26b,Downey,3812,9-12,7,33.934826,-118.1407,3,(562) 869-7306,Warren High School,public,http://warren.dusd.net/about/schoolinfo.asp
2412,5af7495d18e4261b6296b26c,Downey,1474,6-8,6,33.93853,-118.15524,4,(562) 904-3565,West Middle School,public,
2413,5af7495d18e4261b6296b26d,Downey,714,K-3,7,33.944656,-118.14828,4,(562) 904-3564,Williams Elementary School,public,
2414,5af7495d18e4261b6296b26e,Duarte,346,PK-6,3,34.137604,-117.95168,4,(626) 599-5100,Andres Duarte Elementary School,public,http://www.duarte.k12.ca.us/site/Default.aspx?PageID=146
2415,5af7495d18e4261b6296b26f,Duarte,339,K-6,6,34.128666,-117.97929,4,(626) 599-5200,Beardslee Elementary School,public,
2416,5af7495d18e4261b6296b270,Duarte,NA,K-12,NA,34.12335,-117.989685,4,(626) 357-3217,Berean Baptist Academy,private,
2417,5af7495d18e4261b6296b271,Duarte,91,PK-8,NA,34.14224,-117.95902,5,(626) 301-9809,Carden of the Foothills School,private,http://www.cardenofthefoothills.com
2418,5af7495d18e4261b6296b272,Duarte,993,9-12,7,34.136032,-117.97128,4,(626) 599-5700,Duarte High School,public,
2419,5af7495d18e4261b6296b273,Duarte,28,K-2,NA,34.140736,-117.969955,4,(626) 303-2616,Duarte Montessori School Inc.,private,
2420,5af7495d18e4261b6296b274,Duarte,140,PK-8,NA,34.142216,-117.95892,5,(626) 301-9809,Foothill Oaks Academy,private,http://www.foothilloaksacademy.org
2421,5af7495d18e4261b6296b275,Duarte,1700,PK-12,NA,34.139355,-117.967545,5,(626) 932-1802,Inspire Charter Schools,charter,www.inspireschools.org
2422,5af7495d18e4261b6296b276,Duarte,NA,K-2,NA,34.13893,-117.96647,4,(626) 359-6011,Little Scholars Montessori School,private,
2423,5af7495d18e4261b6296b277,Duarte,NA,K,NA,34.139538,-117.95117,4,(626) 357-1514,Maryvale Education Center,private,
2424,5af7495d18e4261b6296b278,Duarte,367,K-6,5,34.12828,-117.9898,4,(626) 599-5300,Maxwell Elementary School,public,http://www.duarteusd.org/Page/156
2425,5af7495d18e4261b6296b279,Duarte,59,9-12,NA,34.138584,-117.95548,4,(626) 599-5900,Mount Olive Alternative Education School,public,
2426,5af7495d18e4261b6296b27a,Duarte,522,7-8,4,34.13709,-117.96664,3,(626) 599-5600,Northview Intermediate School,public,http://www.cde.ca.gov/re/sd/details.asp?cds=19644696057665&Public=Y
2427,5af7495d18e4261b6296b27b,Duarte,NA,7-12,NA,34.13951,-117.98366,3,(626) 921-8200,Opportunities For Learning - Duarte,charter,
2428,5af7495d18e4261b6296b27c,Duarte,519,K-6,7,34.14343,-117.95082,4,(626) 599-5400,Royal Oaks Elementary School,public,http://www.edline.net/pages/Royal_Oaks_ES
2429,5af7495d18e4261b6296b27d,Duarte,372,K-6,8,34.15032,-117.9394,4,(626) 599-5500,Valley View Elementary School,public,http://www.valleyviewelementaryschool.org/
2430,5af7495e18e4261b6296b27e,Dublin,754,K-5,8,37.714317,-121.93693,4,(925) 833-1204,Dublin Elementary School,public,www.dublinusd.org
2431,5af7495e18e4261b6296b27f,Dublin,2062,9-12,9,37.7209,-121.92404,4,(925) 833-3300,Dublin High School,public,www.dublinusd.org
2432,5af7495e18e4261b6296b280,Dublin,1228,6-8,9,37.71566,-121.86589,4,(925) 875-9376,Eleanor Murray Fallon School,public,www.dublin.usd.org
2433,5af7495e18e4261b6296b281,Dublin,250,PK-1,NA,37.701843,-121.92548,4,(925) 820-1343,Fountainhead Montessori School,private,http://www.fms.org/campuses/dublin/
2434,5af7495e18e4261b6296b282,Dublin,771,K-5,7,37.714806,-121.92212,4,(925) 828-1037,Frederiksen Elementary School,public,www.dublinusd.org
2435,5af7495e18e4261b6296b283,Dublin,1130,K-5,9,37.71201,-121.85886,4,(925) 833-4720,Harold William Kolb,public,www.dublinusd.org
2436,5af7495e18e4261b6296b284,Dublin,NA,K-5,NA,37.718166,-121.84454,4,(925) 828-2551,J. M. Amador Elementary,public,www.dublinusd.org
2437,5af7495e18e4261b6296b285,Dublin,938,K-5,8,37.710384,-121.88515,4,(925) 803-4444,James Dougherty Elementary School,public,www.dublinusd.org
2438,5af7495e18e4261b6296b286,Dublin,920,K-5,10,37.7181,-121.8615,5,(925) 833-4200,John Green Elementary School,public,www.dublinusd.org
2439,5af7495e18e4261b6296b287,Dublin,80,PK-1,NA,37.709286,-121.93917,5,(925) 248-2200,Learn And Play Montessori School,private,www.LearnAndPlayMontessori.com
2440,5af7495e18e4261b6296b288,Dublin,415,K-5,8,37.72141,-121.93261,4,(925) 828-2568,Murray Elementary School,public,www.dublinusd.org
2441,5af7495e18e4261b6296b289,Dublin,67,PK-8,NA,37.723457,-121.937225,5,(925) 829-3857,St. Philip Lutheran School,private,http://www.stphilipchurch.com
2442,5af7495e18e4261b6296b28a,Dublin,300,K-8,NA,37.713833,-121.939766,3,(925) 828-4064,St. Raymond,private,http://www.straymondschool.org/
2443,5af7495e18e4261b6296b28b,Dublin,673,K-12,NA,37.727722,-121.86985,4,(925) 829-8000,The Quarry Lane School,private,www.quarrylane.org
2444,5af7495e18e4261b6296b28c,Dublin,NA,K-5,NA,37.702232,-121.95373,4,(925) 560-6270,Valley Christian Elementary School,private,http://www.valleychristianschools.org/
2445,5af7495e18e4261b6296b28d,Dublin,686,6-12,NA,37.702232,-121.95373,4,(925) 560-6250,Valley Christian Middle School & High School,private,http://www.valleychristianschools.org
2446,5af7495e18e4261b6296b28e,Dublin,70,9-12,NA,37.709137,-121.9212,3,(925) 829-4322,Valley High (Continuation) School,public,www.dublinusd.org
2447,5af7495e18e4261b6296b28f,Dublin,863,6-8,6,37.710503,-121.91869,4,(925) 828-6227,Wells Middle School,public,www.dublinusd.org
2448,5af7495e18e4261b6296b290,Dunsmuir,87,PK-8,5,41.22724,-122.27402,4,(530) 235-4828,Dunsmuir Elementary School,public,http://des-desd-ca.schoolloop.com/cms/page_view?d=x&amp;piid=&amp;vpid=1376458193242
2449,5af7495e18e4261b6296b291,Dunsmuir,55,9-12,2,41.210754,-122.27626,4,(530) 235-4835,Dunsmuir High School,public,www.dunsmuirhigh.k12.ca.us
2450,5af7495e18e4261b6296b292,Dunsmuir,NA,9-12,NA,41.210754,-122.27626,4,(530) 235-4835,Dunsmuir Joint Union High Community Day School,public,
2451,5af7495e18e4261b6296b293,Dunsmuir,NA,K-8,NA,41.233124,-122.27132,4,(530) 235-4828,Summit Academy Community Day,public,
2452,5af7495e18e4261b6296b294,East Palo Alto,300,7-12,NA,37.46742,-122.13211,5,(650) 325-1460,Aspire East Palo Alto Phoenix Academy,charter,epapa.org
2453,5af7495e18e4261b6296b295,East Palo Alto,532,K-5,2,37.462265,-122.1346,4,(650) 329-2800,Brentwood Academy,public,www.ravenswoodschools.org
2454,5af7495e18e4261b6296b296,East Palo Alto,183,6-8,1,37.4736,-122.145,5,(650) 329-6700,Cesar Chavez Elementary School,public,www.ravenswood.k12.ca.us
2455,5af7495e18e4261b6296b297,East Palo Alto,564,K-8,1,37.478065,-122.13856,4,(650) 329-2800,Costano Elementary School,public,www.ravenswood.k12.ca.us
2456,5af7495e18e4261b6296b298,East Palo Alto,308,9-12,NA,37.463158,-122.13187,4,(650) 839-8900,East Palo Alto Academy,charter,www.epaahs.org
2457,5af7495e18e4261b6296b299,East Palo Alto,336,6-12,NA,37.463543,-122.13225,5,(650) 688-0850,Eastside College Preparatory School,private,http://www.eastside.org/
2458,5af7495e18e4261b6296b29a,East Palo Alto,273,K-5,2,37.4736,-122.145,5,(650) 329-2800,Green Oaks Academy,public,www.ravenswoodschools.org
2459,5af7495e18e4261b6296b29b,East Palo Alto,NA,K-7,NA,37.4643,-122.1385,5,(650) 326-9280,Lavengamalie Christian Academy & University,private,
2460,5af7495e18e4261b6296b29c,East Palo Alto,223,6-8,3,37.461746,-122.1301,4,(650) 329-2800,Ronald Mcnair Academy,public,www.ravenswoodschools.org
2461,5af7495e18e4261b6296b29d,East Palo Alto,NA,9-12,NA,37.46467,-122.13816,4,(650) 323-1085,Sequoia Community Day,public,
2462,5af7495e18e4261b6296b29e,East Palo Alto,NA,9-12,NA,37.461395,-122.130615,4,(650) 599-1517,South Community,public,http://www.smcoe.k12.ca.us
2463,5af7495e18e4261b6296b29f,Eastvale,1801,K-6,8,33.95248,-117.58727,4,(951) 736-4545,Clara Barton Elementary School,public,www.cnusd.k12.ca.us/baes
2464,5af7495e18e4261b6296b2a0,Eastvale,1225,7-8,8,33.96227,-117.58593,5,(951) 736-8241,Dr. Augustine Ramirez Intermediate School,public,www.cnusd.k12.ca.us/aris
2465,5af7495e18e4261b6296b2a1,Eastvale,1396,K-6,9,33.959057,-117.56771,4,(951) 738-2180,Eastvale Elementary School,public,www.cnusd.k12.ca.us/eaes
2466,5af7495e18e4261b6296b2a2,Eastvale,3868,9-12,8,33.954227,-117.56702,4,(951) 738-2100,Eleanor Roosevelt High School,public,www.cnusd.k12.ca.us/erhs
2467,5af7495e18e4261b6296b2a3,Eastvale,1365,K-6,7,33.970646,-117.56486,4,(951) 739-6820,Harada Elementary School,public,www.cnusd.k12.ca.us/haes
2468,5af7495e18e4261b6296b2a4,Eastvale,1052,7-8,7,33.95817,-117.56704,4,(951) 738-2155,River Heights Intermediate School,public,www.cnusd.k12.ca.us/rhis
2469,5af7495e18e4261b6296b2a5,Eastvale,NA,K-6,NA,33.93672,-117.599464,4,(951) 736-8250,Ronald Reagan Elementary,public,
2470,5af7495f18e4261b6296b2a6,El Cajon,590,K-5,4,32.786,-116.9478,3,(619) 588-3116,Anza Elementary School,public,http://www.cajonvalley.net/anza
2471,5af7495f18e4261b6296b2a7,El Cajon,NA,K-12,NA,32.782833,-116.969765,3,(619) 588-6862,Berean Christian Academy,private,
2472,5af7495f18e4261b6296b2a8,El Cajon,523,K-5,7,32.861416,-116.846,5,(619) 588-3678,Blossom Valley Elementary School,public,http://www.cajonvalley.net/blossomvalley
2473,5af7495f18e4261b6296b2a9,El Cajon,559,K-5,7,32.807762,-116.9317,4,(619) 588-3121,Bostonia Elementary School,public,
2474,5af7495f18e4261b6296b2aa,El Cajon,20,6-8,NA,32.795696,-116.95484,5,(619) 588-3296,Cajon Valley Community Day School,public,http://www.cajonvalley.net/
2475,5af7495f18e4261b6296b2ab,El Cajon,23,K-8,NA,32.807762,-116.93196,5,(619) 588-3630,Cajon Valley Home School,public,http://www.cajonvalley.net/homeschool
2476,5af7495f18e4261b6296b2ac,El Cajon,882,6-8,3,32.79835,-116.95555,3,(619) 588-3092,Cajon Valley Middle School,public,
2477,5af7495f18e4261b6296b2ad,El Cajon,298,9-12,NA,32.816875,-116.97968,5,(619) 956-4600,Chaparral High School,public,http://chaparral.guhsd.net/
2478,5af7495f18e4261b6296b2ae,El Cajon,755,K-5,3,32.780354,-116.96002,5,(619) 588-3123,Chase Avenue Elementary School,public,
2479,5af7495f18e4261b6296b2af,El Cajon,30,PK-1,NA,32.780846,-116.9484,5,(619) 440-3646,Chase Ranch Montessori School,private,http://chaseranchmontessori.com/
2480,5af7495f18e4261b6296b2b0,El Cajon,NA,PK-6,NA,32.78738,-116.93248,3,(619) 440-1704,Childrens Creative and Perf Ec School,private,
2481,5af7495f18e4261b6296b2b1,El Cajon,187,K-6,NA,32.79999,-116.90241,5,(619) 201-8900,Christian Elementary East School,private,
2482,5af7495f18e4261b6296b2b2,El Cajon,157,K-6,NA,32.793736,-116.92629,5,(619) 201-8925,Christian Elementary School,private,
2483,5af7495f18e4261b6296b2b3,El Cajon,NA,K-6,NA,32.793736,-116.92629,5,(619) 201-8925,Christian Elementary West,private,
2484,5af7495f18e4261b6296b2b4,El Cajon,NA,7-12,NA,32.79999,-116.90241,4,(619) 201-8800,Christian Junior / Senior High School,private,http://www.christianunified.com
2485,5af7495f18e4261b6296b2b5,El Cajon,132,K-5,5,32.805244,-116.86621,5,(858) 558-3128,Crest Elementary School,public,http://www.cajonvalley.net/crest
2486,5af7495f18e4261b6296b2b6,El Cajon,NA,K,NA,32.7975,-116.9616,3,(619) 442-2895,Dayspring Christian Learning Center,private,
2487,5af7495f18e4261b6296b2b7,El Cajon,183,K-8,5,32.781555,-116.85039,4,(619) 444-2161,Dehesa School,public,https://dehesasd.sdcoe.net/
2488,5af7495f18e4261b6296b2b8,El Cajon,NA,K-12,NA,32.794773,-116.962524,1,(619) 461-3578,Del Rey Schools,private,
2489,5af7495f18e4261b6296b2b9,El Cajon,NA,"K-7, 10, 12",NA,32.785877,-116.9279,1,(619) 461-3578,Del Rey Schools,private,
2490,5af7495f18e4261b6296b2ba,El Cajon,657,K-12,NA,32.800713,-116.935394,1,(619) 286-0312,Diego Valley Charter,charter,
2491,5af7495f18e4261b6296b2bb,El Cajon,513,K-5,5,32.780354,-116.96007,4,(619) 401-4150,Eje Elementary Academy Charter,charter,www.ejeacademies.org
2492,5af7495f18e4261b6296b2bc,El Cajon,171,6-8,7,32.780354,-116.96007,5,(619) 401-4150,Eje Middle Academy,charter,www.ejeacademies.org
2493,5af7495f18e4261b6296b2bd,El Cajon,34,K-8,NA,32.80021,-116.92045,5,(619) 442-6544,El Cajon Seventh-Day Adventist,private,
2494,5af7495f18e4261b6296b2be,El Cajon,1720,9-12,3,32.800156,-116.94729,4,(619) 579-5855,El Cajon Valley High School,public,http://braves.guhsd.net/
2495,5af7495f18e4261b6296b2bf,El Cajon,NA,1-12,NA,32.789585,-116.919876,4,(619) 328-6613,El Cerrito Baptist Academy,private,
2496,5af7495f18e4261b6296b2c0,El Cajon,537,6-8,2,32.778996,-116.96872,4,(619) 588-3097,Emerald Middle School,public,
2497,5af7495f18e4261b6296b2c1,El Cajon,684,K-6,8,32.80045,-116.99618,5,(619) 668-5820,Fletcher Hills Elementary School,public,http://www.lmsvsd.k12.ca.us/domain/192
2498,5af7495f18e4261b6296b2c2,El Cajon,533,K-6,5,32.811825,-116.98244,4,(619) 588-3132,Flying Hills Elementary School,public,http://www.cajonvalley.net/flyinghills
2499,5af7495f18e4261b6296b2c3,El Cajon,256,9-12,NA,32.7979,-116.99553,5,(619) 303-8035,Foothills Christian High School,private,http://www.foothillsschool.net/
2500,5af7495f18e4261b6296b2c4,El Cajon,104,6-8,NA,32.817337,-116.965195,3,(619) 303-1641,Foothills Christian Middle School,private,http://foothillsschool.net
2501,5af7495f18e4261b6296b2c5,El Cajon,601,K-5,8,32.76113,-116.94679,4,(619) 588-3134,Fuerte Elementary School,public,http://www.cajonvalley.net/fuerte
2502,5af7495f18e4261b6296b2c6,El Cajon,2478,9-12,7,32.800186,-116.91681,4,(619) 593-5500,Granite Hills High School,public,http://granite.guhsd.net/
2503,5af7495f18e4261b6296b2c7,El Cajon,670,6-8,3,32.811073,-116.92833,4,(619) 588-3103,Greenfield Middle School,public,http://www.cajonvalley.net/greenfield
2504,5af7495f18e4261b6296b2c8,El Cajon,NA,n/a,NA,32.79713,-116.92436,4,(619) 588-3512,Grossmont Adult Center,public,http://adultschool.guhsd.net/
2505,5af7495f18e4261b6296b2c9,El Cajon,79,11-12,8,32.81492,-117.00892,4,(619) 644-7524,Grossmont Middle College High School,public,http://middlecollege.guhsd.net
2506,5af7495f18e4261b6296b2ca,El Cajon,1502,6-8,7,32.748512,-116.93242,4,(619) 441-6156,Hillsdale Middle School,public,http://www.cajonvalley.net/Page/33
2507,5af7495f18e4261b6296b2cb,El Cajon,302,K-8,NA,32.79021,-116.941154,4,(619) 444-7529,Holy Trinity Elementary School,private,http://www.holytrinityhawks.com/
2508,5af7495f18e4261b6296b2cc,El Cajon,NA,9-12,NA,32.81686,-116.97966,4,(619) 956-4332,Idea Center,public,www.guhsd.net/our-schools/idea
2509,5af7495f18e4261b6296b2cd,El Cajon,NA,K-12,NA,32.781116,-116.84889,4,(626) 932-1802,Inspire Charter School - South,charter,www.inspireschools.org
2510,5af7495f18e4261b6296b2ce,El Cajon,568,K-5,6,32.740116,-116.91222,4,(619) 441-6150,Jamacha Elementary School,public,http://www.cajonvalley.net/jamacha
